username,comments_clean,text_preprocessed,polarity_score,polarity
dadan.f.komara,proyek deui,"['proyek', 'deui']",0,neutral
alfarizie_angga17,semoga luar jabodetabek juga cepet aso,"['moga', 'jabodetabek', 'cepet', 'aso']",3,positive
lumut_24,katanya ada stb gratis mana,"['stb', 'gratis']",4,positive
menudinein,apaan gabisa,['gabisa'],0,neutral
novikrismanto,bisnis muli d pikirin mnc grup daerah taman serua sawangan depok belom bisa akses digitalny pikirini ini dulu aja kali pak perbaiki pemancarny dulu pastikan smua terjangkau,"['bisnis', 'muli', 'd', 'pikirin', 'mnc', 'grup', 'daerah', 'taman', 'rua', 'sawangan', 'depok', 'bom', 'akses', 'digitalny', 'pikirini', 'aja', 'kali', 'baik', 'pemancarny', 'pasti', 'smua', 'jangkau']",3,positive
habibmlncvx,report akunnya,"['report', 'akun']",0,neutral
mulia7695,bodoamat gak punya tipi,"['bodoamat', 'gak', 'tipi']",-4,negative
al_haris13,lulusan apa jadi apa🤣,"['lulus', 'apa']",2,positive
dizgerd,hai anda diabaikan oleh orang lain di whatsapp orang di whatsapp anda mengaktifkan penutupan privasi itu buat kamu bertanyatanya apa yang mereka pikirkan tentang kamu kamu di kucilkan kamu di benci atau dia tidak peduli dengan keadaan mu diamdiam dia menutup status online karena dia tahu kalau kamu sedang menuggunya kamu tidak pernah melihat centang biru dari dia dia sejahat itu sama dirimu semua ini karena whatsapp dari meta dia mendukung kebenciannya untuk menindas kamu kamu tidak setuju juga kan sama keputusan whatsapp sekarang ayo tanda tangani petisi ini,"['hai', 'abai', 'orang', 'whatsapp', 'orang', 'whatsapp', 'aktif', 'tutup', 'privasi', 'bertanyatanya', 'pikir', 'kucil', 'benci', 'peduli', 'mu', 'diamdiam', 'tutup', 'status', 'online', 'menuggunya', 'centang', 'biru', 'jahat', 'diri', 'whatsapp', 'meta', 'dukung', 'benci', 'tindas', 'tuju', 'putus', 'whatsapp', 'ayo', 'tanda', 'tangan', 'petisi']",-18,negative
alleoxx,bjorka siap bantu,"['bjorka', 'bantu']",-1,negative
r.qurniasari,tv digital sinyalnya sering kabur kanginan🤣🤣,"['tv', 'digital', 'sinyal', 'kabur', 'kanginan']",-2,negative
rianoatthemovies,terlalu maksa karena belum semua orang dapat stb,"['maksa', 'orang', 'stb']",-5,negative
namakucingnya_cimidancikal,udah ga pernah nonton tv,"['udah', 'ga', 'nonton', 'tv']",0,neutral
trisuratni,hadeeeh kalau cuaca mendung berangin sinyal timbul tenggelam gambar tv ikutan ilang,"['hadeeeh', 'cuaca', 'mendung', 'angin', 'sinyal', 'timbul', 'tenggelam', 'gambar', 'tv', 'ikut', 'ilang']",-15,negative
bayu039byd,mohon stb nya dibagi min,"['mohon', 'stb', 'nya', 'bagi', 'min']",-2,negative
rudi1998th,siaran televisi analog selesai pembangunan instruktur dari anolog ke digital,"['siar', 'televisi', 'analog', 'selesai', 'bangun', 'instruktur', 'anolog', 'digital']",2,positive
anemoritosu,buru beli stb krna ngejar trans tv suka ada filmeh sensitif sinyalnya msh suka ilang,"['buru', 'beli', 'stb', 'krna', 'ngejar', 'trans', 'tv', 'suka', 'filmeh', 'sensitif', 'sinyal', 'msh', 'suka', 'ilang']",-3,negative
babeh_gian,bnerin dlu signal nya baru terapkan,"['bnerin', 'dlu', 'signal', 'nya', 'terap']",0,neutral
brensky14,diem ga guna gerak nyusain ,"['diem', 'ga', 'gerak', 'nyusain']",-1,negative
rudi1998th,berarti kominfo tinggal perkuatkan sinyal tv stb di daerah sekitar kekurangan bts selesai langsung diluncurkan tanggal november,"['kominfo', 'tinggal', 'kuat', 'sinyal', 'tv', 'stb', 'daerah', 'kurang', 'bts', 'selesai', 'langsung', 'luncur', 'tanggal', 'november']",-5,negative
bayu_bachtiar,stb nya doang  led tv nya kaga,"['stb', 'nya', 'doang', 'led', 'tv', 'nya', 'kaga']",0,neutral
harry.a.setiawan,ra popo wong wes ga tau nnton tv ,"['ra', 'popo', 'wes', 'ga', 'tau', 'nnton', 'tv']",0,neutral
tedi_permana31,apakah sekrang nonton tv harus paje vpn biar lncae jya,"['sekrang', 'nonton', 'tv', 'paje', 'vpn', 'biar', 'lncae', 'jya']",0,neutral
mama_via24,pembagian stb  bagi kemana tuh,"['bagi', 'stb', 'mana', 'tuh']",-2,negative
mama_via24,tolong donk link video porno diurusdah seliweran,"['tolong', 'donk', 'link', 'video', 'porno', 'diurusdah', 'seliwer']",-7,negative
yenny.suparman,bagi stb pak,['stb'],0,neutral
cintarsihz,sebelum dimatiin bagiin dulu set box digitalnya,"['dimatiin', 'bagiin', 'set', 'box', 'digital']",0,neutral
tasyakuri26,alat nya banyak di jual tapi begitu ada yg rusak susah mendapatkan nya harus ganti semuanya satu paket saya hanya remot nya ajah gak fungsi dan gak bisa beli remot nya ajah tolong persiapkan sebelum di jual bebas bebaan masyarakat juga,"['alat', 'nya', 'jual', 'yg', 'rusak', 'susah', 'nya', 'ganti', 'paket', 'remot', 'nya', 'ajah', 'gak', 'fungsi', 'gak', 'beli', 'remot', 'nya', 'ajah', 'tolong', 'siap', 'jual', 'bebas', 'bebaan', 'masyarakat']",-4,negative
adi_yudh,pak cahnel tv digital di daerah saya cuma ada metrotv pak ,"['cahnel', 'tv', 'digital', 'daerah', 'metrotv']",0,neutral
tasyakuri26,proyek lagi,['proyek'],0,neutral
arifin_nur13,sinyalnya masih kurang kuat,"['sinyal', 'kuat']",-1,negative
mfrnay10_,,[],0,neutral
agusstiin_015,masyarakat kurang mampu di paksa untuk kaya karena bantuan tsbt tidak tersalur rata,"['masyarakat', 'paksa', 'kaya', 'bantu', 'tsbt', 'salur']",-5,negative
linggarr_28,jatim gmna,"['jatim', 'gmna']",0,neutral
henipuspitaindah,tiba mau matiin aja stb nya aja blm dibagialamat ga bsa nonton tvderita tv tabung  inc,"['matiin', 'aja', 'stb', 'nya', 'aja', 'blm', 'dibagialamat', 'ga', 'bsa', 'nonton', 'tvderita', 'tv', 'tabung', 'inc']",1,positive
fittdm,stb gratis dong punya tv digital nganggur nih d rmh,"['stb', 'gratis', 'tv', 'digital', 'nganggur', 'nih', 'd', 'rmh']",1,positive
dandelion_dna,akunnya kementerian pendidikan indonesia mana ya ini persyaratan sistem zonasi harus gonta ganti kk padahal udah tk sd di kecamatan yang sama mau smp aja kk harus ganti  apa gunanya ektp satu data orang pintar kayak ilang amonge gonta ganti kk kayak orang mumet,"['akun', 'menteri', 'didik', 'indonesia', 'ya', 'syarat', 'sistem', 'zonasi', 'gonta', 'ganti', 'kk', 'udah', 'tk', 'sd', 'camat', 'smp', 'aja', 'kk', 'ganti', 'guna', 'ektp', 'data', 'orang', 'pintar', 'kayak', 'ilang', 'amonge', 'gonta', 'ganti', 'kk', 'kayak', 'orang', 'mumet']",-21,negative
riyan_sunarya,stb nya mana,"['stb', 'nya']",0,neutral
denis.a.p_,nah gini gek kan frekuensinya bisa dipakai g,"['gin', 'gek', 'frekuensi', 'pakai', 'g']",0,neutral
rin_aldypakam,dimedan kapan net tv mengudaracuma net tv siaran nasional yg blm dapat di siaran digital,"['medan', 'net', 'tv', 'mengudaracuma', 'net', 'tv', 'siar', 'nasional', 'yg', 'blm', 'siar', 'digital']",0,neutral
misnanarifin11,kasian yg msh pake tv tabung,"['kasi', 'yg', 'msh', 'pake', 'tv', 'tabung']",0,neutral
mrs.ricoo,lbh baik dipersiapkan dl,"['lbh', 'siap', 'dl']",1,positive
lupiforever,stbkompor listrik proyek lgi gk hbis hbis proyeknya tidak ke beli beli stb nya,"['stbkompor', 'listrik', 'proyek', 'lgi', 'gk', 'hbis', 'hbis', 'proyek', 'beli', 'beli', 'stb', 'nya']",-2,negative
fandiakhmadd,kominfo anjing,"['kominfo', 'anjing']",-4,negative
rommi_jalaludin,pastikan dulu dilapangan semua masyarakat yang membutuhkan menerima bantuan stb tersebut pastikan juga tidak ada satupun yang terselip dalam pembagiannya sehingga mereka belum menerima kalo dimatikan siaran analog apa yang terjadi bagi yang mereka yang belum mendapat bantuan,"['pasti', 'lapang', 'masyarakat', 'butuh', 'terima', 'bantu', 'stb', 'pasti', 'satu', 'selip', 'bagi', 'terima', 'kalo', 'mati', 'siar', 'analog', 'bantu']",5,positive
jeghz,jt org gabut wkk,"['jt', 'org', 'gabut', 'wkk']",-5,negative
mwahyudins,apa masih ada yg nonton tv,"['yg', 'nonton', 'tv']",0,neutral
rz_chandraa,minfo tolongjaga aja data kependudukan kami jgn diperjualbelikan emg kami gk tau sistem dagang nya yg jelas sesuatu yg mengancam hak keamanan dan kenyamanan warga itu melanggar hukum,"['minfo', 'tolongjaga', 'aja', 'data', 'duduk', 'jgn', 'diperjualbelikan', 'emg', 'gk', 'tau', 'sistem', 'dagang', 'nya', 'yg', 'yg', 'ancam', 'hak', 'aman', 'nyaman', 'warga', 'langgar', 'hukum']",-8,negative
ginanjardedi,rcti gtv mnca ko blm ada y di depok,"['rcti', 'gtv', 'mnca', 'ko', 'blm', 'y', 'depok']",0,neutral
raissya_ulima_l,,[],0,neutral
admin.naura.ney,ngabisa nonton net tv ,"['ngabisa', 'nonton', 'net', 'tv']",0,neutral
faridh_iskandar,,[],0,neutral
septiadii95,selamat malam yang terhormat  bapak ibu komenkominfodengan sangat hormat saya meminta agar sinyal tv di gital di kota purwakarta khususnya di kecamatan sukatani desa pasir munjul tolong di perkuat kembalikarna kami ingin menikmati siaran tv digital tanpa harus menggunakan parabola,"['selamat', 'malam', 'hormat', 'komenkominfodengan', 'hormat', 'sinyal', 'tv', 'gital', 'kota', 'purwakarta', 'camat', 'sukatani', 'desa', 'pasir', 'munjul', 'tolong', 'kuat', 'kembalikarna', 'nikmat', 'siar', 'tv', 'digital', 'parabola']",3,positive
dasiha1989,belom dapet stb gratia nih,"['bom', 'dapet', 'stb', 'gratia', 'nih']",2,positive
frasetyo_e.r_,yang penting cuan,['cuan'],0,neutral
aini.qurotul22,udah gak pernah nonton tv yg penting ada internet,"['udah', 'gak', 'nonton', 'tv', 'yg', 'internet']",0,neutral
jiunk.motret,dulu februari skg oktober kl mau bohong yg rapih lah nnt jangan alesan aacount ini d hack yah masa kemenkominfo di hack sm aja kaya romy rafael di hipnotis 🤣🤣🤣🤣🤣🤣🤣🤣🤣,"['februari', 'skg', 'oktober', 'kl', 'bohong', 'yg', 'rapih', 'nnt', 'alesan', 'aacount', 'd', 'hack', 'yah', 'kemenkominfo', 'hack', 'sm', 'aja', 'kaya', 'romy', 'rafael', 'hipnotis', '']",-13,negative
bigmananton135,selebew ,['selebew'],0,neutral
andityoputra,jaktim nggak semua dpt giliran mendung gelap signal low nonton kek robott ,"['jaktim', 'nggak', 'dpt', 'gilir', 'mendung', 'gelap', 'signal', 'low', 'nonton', 'kek', 'robott']",-9,negative
yuliaxns,udah mati kapan tauk,"['udah', 'mati', 'tauk']",-4,negative
yulimega27,lah sinyal tv digital aja ga semuanya ada mau dimatiin aja gimana sih ga ngasih solusi,"['sinyal', 'tv', 'digital', 'aja', 'ga', 'dimatiin', 'aja', 'gimana', 'sih', 'ga', 'ngasih', 'solusi']",4,positive
hilnapurmaini,kalau lah kayo galo dak papo,"['kayo', 'galo', 'dak', 'papo']",0,neutral
m.n.a047,ribet,['ribet'],-4,negative
michelleeustine,sejak  akhir udah gak pernah nonton tv,"['udah', 'gak', 'nonton', 'tv']",0,neutral
rahmanmahendra0505,lebih baik pemerintah fokus dalam membuka lapangan kerja sebanyak banyaknya di masing masing daerah dan menjadi  perantara semua hasil bumi  karya masyarakat  memanfaatkan rupiah yg lemah untuk mencetak exportir dari semua kalangan masyarakat,"['perintah', 'fokus', 'buka', 'lapang', 'kerja', 'banyak', 'daerah', 'antara', 'hasil', 'bumi', 'karya', 'masyarakat', 'manfaat', 'rupiah', 'yg', 'lemah', 'cetak', 'exportir', 'kalang', 'masyarakat']",16,positive
raff_andri,digaungkan terus beralih ke tv digital agar ganti tv atau beli stb namun nyatanya tak sesuai harapan masyarakat ,"['gaung', 'alih', 'tv', 'digital', 'ganti', 'tv', 'beli', 'stb', 'sesuai', 'harap', 'masyarakat']",-1,negative
mandailing_selebgram,besok kentut berbyar ya ges ya,"['besok', 'kentut', 'berbyar', 'ya', 'ges', 'ya']",-2,negative
vincentardi27,jd lbh cpt matiny tuh analog,"['jd', 'lbh', 'cpt', 'matiny', 'tuh', 'analog']",0,neutral
aliakhaima,nonton pakai saluran digital layarnya memang bersihtapi suka macet berasa nonton vcd yg kasetnya banyak goresan,"['nonton', 'pakai', 'salur', 'digital', 'layar', 'bersihtapi', 'suka', 'macet', 'asa', 'nonton', 'vcd', 'yg', 'kaset', 'gores']",1,positive
dippoart,untung dah smart tv net tp kasihan masyarakat yg blm sanggup beli tv digital stb,"['untung', 'dah', 'smart', 'tv', 'net', 'tp', 'kasihan', 'masyarakat', 'yg', 'blm', 'sanggup', 'beli', 'tv', 'digital', 'stb']",1,positive
hariantoo19,cape diundur mulu,"['cape', 'undur', 'mulu']",-5,negative
rid_one21,pa ungkeun modal jeung meser stb na atuh,"['pa', 'ungkeun', 'modal', 'jeung', 'meser', 'stb', 'na', 'atuh']",-7,negative
ibnurahman7,mana ada bantuan stb udah tersalurkan bantuan yg lain²nya aja gaada yg nyampe di cakung,"['bantu', 'stb', 'udah', 'salur', 'bantu', 'yg', 'lain nya', 'aja', 'gaada', 'yg', 'nyampe', 'cakung']",-5,negative
mejikuviniu,ad alasan beli tv baru ,"['ad', 'alas', 'beli', 'tv']",-1,negative
c_can23,emng masih ada yg nnton tv,"['emng', 'yg', 'nnton', 'tv']",0,neutral
bsd.official.kimjihoon,buat anak kosan gimana tu dapat ga stb nya,"['anak', 'kosan', 'gimana', 'tu', 'ga', 'stb', 'nya']",0,neutral
kang_ternak,sinyal digital di jkt aja kurang stabil apalagi di daerah pelosok wkkwkwkw,"['sinyal', 'digital', 'jkt', 'aja', 'stabil', 'daerah', 'pelosok', 'wkkwkwkw']",0,neutral
rendi_pangalila1234,geus rupa rupaa wae ,"['geus', 'rupa', 'rupaa', 'wae']",3,positive
rizka.dwifauzi,jaringan internet di wilayah pamalayan ciamis matiii,"['jaring', 'internet', 'wilayah', 'pamalayan', 'ciamis', 'matiii']",3,positive
ghilmanahmadzz,mending pimpinan ad yg diganti,"['mending', 'pimpin', 'ad', 'yg', 'ganti']",-1,negative
wawanher15,boro bantuan stb gmn judul nya di matikan siaran y di kira org indonesia mampu semua hadeeeh,"['boro', 'bantu', 'stb', 'gmn', 'judul', 'nya', 'mati', 'siar', 'y', 'org', 'indonesia', 'hadeeeh']",-2,negative
nandariskiawan,benerin dulu sinyalnya suka putus patah nonton bola ilang sinyalnya,"['benerin', 'sinyal', 'suka', 'putus', 'patah', 'nonton', 'bola', 'ilang', 'sinyal']",-9,negative
fitripithut,mnc grup sinyalnya lemah banget dikit ilang siaran digitalnya padahal sy di kabupaten bekasi channel yg lain lancar mnc grup yg payah banget,"['mnc', 'grup', 'sinyal', 'lemah', 'banget', 'dikit', 'ilang', 'siar', 'digital', 'sy', 'kabupaten', 'bekas', 'channel', 'yg', 'lancar', 'mnc', 'grup', 'yg', 'payah', 'banget']",-13,negative
gamaputraae,apakah distribusi stb udh merata,"['distribusi', 'stb', 'udh', 'rata']",0,neutral
rbayy._,ges ges game wildrift anda yang blokir bukan,"['ges', 'ges', 'game', 'wildrift', 'blokir']",-1,negative
ekoalfalahp,gak mau pindah sebelum ada pembagian stb gratis  maklum mau beli stb masih bnyk kebutuhan,"['gak', 'pindah', 'bagi', 'stb', 'gratis', 'maklum', 'beli', 'stb', 'bnyk', 'butuh']",-5,negative
hengkiabstract_s,kendak kamu tulahyyang gk mkrin masyarakat desa,"['kendak', 'tulahyyang', 'gk', 'mkrin', 'masyarakat', 'desa']",0,neutral
hengkiabstract_s,kendak kamu tulahyyang gk mkrin masyarakat desa,"['kendak', 'tulahyyang', 'gk', 'mkrin', 'masyarakat', 'desa']",0,neutral
anjanywidyast, gue sampe beli tv baru apaan  tv digital kok ilangan sinyal nya udh pakai tambahan alat booster signal padahal modal lg  kelakuaaann  gimana sih 🤣 bad bgt signal nya,"['gue', 'sampe', 'beli', 'tv', 'tv', 'digital', 'ilangan', 'sinyal', 'nya', 'udh', 'pakai', 'tambah', 'alat', 'booster', 'signal', 'modal', 'lg', 'kelakuaaann', 'gimana', 'sih', '', 'bad', 'bgt', 'signal', 'nya']",-3,negative
qoni1238,tahap  jg blum  beralih ke digitalkpn beralih ke tv digital,"['tahap', 'jg', 'blum', 'alih', 'digitalkpn', 'alih', 'tv', 'digital']",0,neutral
yayan_040,towernya dibangun dlu buat yg digital support dlu pondasinya  kasian yg belum dapet sinyal analogpun burem,"['towernya', 'bangun', 'dlu', 'yg', 'digital', 'support', 'dlu', 'pondasinya', 'kasi', 'yg', 'dapet', 'sinyal', 'analog', 'burem']",3,positive
ahmaddhikin29,ku punya youtube,"['ku', 'youtube']",0,neutral
jacka_brunoes,data kami gimana min,"['data', 'gimana', 'min']",-3,negative
ibadirrahman,stbnya mana masuk aplikasi cek bansos aja kaga bisabisa lawak mulu heran,"['stbnya', 'masuk', 'aplikasi', 'cek', 'bansos', 'aja', 'kaga', 'bisabisa', 'lawak', 'mulu', 'heran']",-8,negative
rchaesaalyust,hewww sulit,"['hewww', 'sulit']",0,neutral
sultanj_jok,benahi dulu sistimnyamasyarakat jga ingin lebih baik,"['benah', 'sistimnyamasyarakat', 'jga']",0,neutral
jokiwiratno,heleh ngk konsisten aso nya dari jadwal yang sebenarnya telah beredar,"['heleh', 'ngk', 'konsisten', 'aso', 'nya', 'jadwal', 'edar']",2,positive
ir.wansyah7683,jangan lh para pemimpin  mempersulit rakyat kecil dan rakyat miskin wahay para prisiden dan wakil nya dan wahay para mentri contoh dan jalan kn seperti baginda nabi muhammad sa,"['lh', 'pimpin', 'sulit', 'rakyat', 'rakyat', 'miskin', 'wahay', 'prisiden', 'wakil', 'nya', 'wahay', 'tri', 'contoh', 'jalan', 'kn', 'baginda', 'nabi', 'muhammad', 'sa']",-4,negative
ir.wansyah7683,jangan lh mempersulit kami rakyat kecil  kami masyarat miskin  karna doa orang teraniyaya di ijabah alloh swt,"['lh', 'sulit', 'rakyat', 'masyarat', 'miskin', 'karna', 'doa', 'orang', 'teraniyaya', 'ijabah', 'alloh', 'swt']",-5,negative
ir.wansyah7683,jangn lh semena wahay para pemimpin  jangn lh selalu mempersulit kehidupan kami  bbm naik dan dapak bamyak yg lain juga naik  kami buat mkn sehari ja susah,"['jangn', 'lh', 'semena', 'wahay', 'pimpin', 'jangn', 'lh', 'sulit', 'hidup', 'bbm', 'dapak', 'bamyak', 'yg', 'mkn', 'hari', 'ja', 'susah']",-8,negative
ismafakhrudin,daerah tanggerang kapan di bagikan set top box juga keburu tanggal  november nanti,"['daerah', 'tanggerang', 'bagi', 'set', 'top', 'box', 'keburu', 'tanggal', 'november']",-4,negative
dili_mustopa,chanel tv tetep masih suka ilang sendiri udah digital juga suka leg gk ad sinyal,"['chanel', 'tv', 'tetep', 'suka', 'ilang', 'udah', 'digital', 'suka', 'leg', 'gk', 'ad', 'sinyal']",-1,negative
ismafakhrudin,desa pisangan jaya tanggerang banten,"['desa', 'pisang', 'jaya', 'tanggerang', 'banten']",4,positive
matcha_tea007,bodo amat ga pernah nonton tv juga acaranya kga ada yg menarik,"['bodo', 'ga', 'nonton', 'tv', 'acara', 'kga', 'yg', 'tarik']",-3,negative
dani.rahmat24,gk nonton tv udh ada di vidio jd terserah bapakibu pejabat mau ngapaian aja suka lo deh yg penting kantong kalian penuh,"['gk', 'nonton', 'tv', 'udh', 'vidio', 'jd', 'serah', 'bapakibu', 'jabat', 'ngapaian', 'aja', 'suka', 'lo', 'deh', 'yg', 'kantong', 'penuh']",-1,negative
amirudindesu,nasib perumahan di jabotabek yg msh di tengah sawah kya di cikarang gigit jari beli stb kga dpt sinyal haha,"['nasib', 'rumah', 'jabotabek', 'yg', 'msh', 'sawah', 'kya', 'cikarang', 'gigit', 'jari', 'beli', 'stb', 'kga', 'dpt', 'sinyal', 'haha']",-7,negative
fitriana_maryati,mohon info ka ini gmn caranya bs dpt stb gratis soalnya di daerah rumah saya ga ada kayanya pembagian ini jakarta selatan kbtulan tv di rumah saya udah ga bs nangkep chanel lagi ada rcti itu pun runyemmm,"['mohon', 'info', 'ka', 'gmn', 'bs', 'dpt', 'stb', 'gratis', 'daerah', 'rumah', 'ga', 'kaya', 'bagi', 'jakarta', 'selatan', 'kbtulan', 'tv', 'rumah', 'udah', 'ga', 'bs', 'nangkep', 'chanel', 'rcti', 'runyemmm']",-1,negative
bang_okirubianto,siaran tv analog di rumah banyak sampe dai tv pun dapet pas beli set  apa lah nama nya cuma dapet  terus patah gimana ini hui,"['siar', 'tv', 'analog', 'rumah', 'sampe', 'dai', 'tv', 'dapet', 'pas', 'beli', 'set', 'nama', 'nya', 'dapet', 'patah', 'gimana', 'hui']",2,positive
fzn_ard,emang masih ada yg nonton tv,"['emang', 'yg', 'nonton', 'tv']",0,neutral
bagusjiwo_tyang,dah lama engk tergantung ama tv paling sesekali doang dah sibuk pakek smartphone jadinyya,"['dah', 'engk', 'gantung', 'ama', 'tv', 'doang', 'dah', 'sibuk', 'pakek', 'smartphone', 'jadinyya']",-11,negative
zafincoolant,jangan boong lgi ya,"['boong', 'lgi', 'ya']",-4,negative
miqrom72,ijin bapak ibu  apa saya saja ini yang pusing tiba ada wa atau telegram mengajak judi slot dari para bandar dan profil wanita seksi dan cantik terlalu banyak ajakan mereka dan heran nya mereka pun tau nmor hp saya satunya lagi hadeh pusing dah kenapa banyak nmor bodong mengajak kesesatan apa mungkin data pribadi nmor pelanggan bocor,"['ijin', 'pusing', 'wa', 'telegram', 'ajak', 'judi', 'slot', 'bandar', 'profil', 'wanita', 'seksi', 'cantik', 'aja', 'heran', 'nya', 'tau', 'nmor', 'hp', 'satu', 'hadeh', 'pusing', 'dah', 'nmor', 'bodong', 'ajak', 'sesat', 'data', 'pribadi', 'nmor', 'langgan', 'bocor']",-28,negative
hi.dayat1643,intinya gak bayar ya gak bisa nonton,"['inti', 'gak', 'bayar', 'ya', 'gak', 'nonton']",-2,negative
alvn18_,orang tua mana ngerti teknologi,"['orang', 'tua', 'ngerti', 'teknologi']",-4,negative
bulloh1978,nga usah nonton tvmain hp aja,"['nga', 'nonton', 'tvmain', 'hp', 'aja']",0,neutral
fadilr98,bodo amatsemenjak di kmpung gua bnyak yg pake parabola trus pake anten malah bnyak semut ntah udah berapa tahun gua ga pernah nntn tv,"['bodo', 'amatsemenjak', 'kmpung', 'gua', 'bnyak', 'yg', 'pake', 'parabola', 'trus', 'pake', 'anten', 'bnyak', 'semut', 'ntah', 'udah', 'gua', 'ga', 'nntn', 'tv']",-5,negative
bankgnashoppiccialle,tolong jaga data kami,"['tolong', 'jaga', 'data']",-6,negative
mfathurrizki,jadi digital juga ga jamin tayangan bersih dan lancar make stb juga masih aja bermasalah,"['digital', 'ga', 'jamin', 'tayang', 'bersih', 'lancar', 'make', 'stb', 'aja', 'masalah']",-4,negative
roger_nur_hamid,trserahga prnh nonton tvisinya drama semuatrpaksa nonton tv cm nnton spongebob sama upin ipin aja,"['trserahga', 'prnh', 'nonton', 'tvisinya', 'drama', 'semuatrpaksa', 'nonton', 'tv', 'cm', 'nnton', 'spongebob', 'upin', 'ipin', 'aja']",-4,negative
mariani.simbolon.7,gk ada masalah kan klo analog jg  ingin semua bertubi tubi migas  sembako ini lg  membuat  pusing  jdnya ada  saja  alatnya mahal kah din belinya brp harganya,"['gk', 'klo', 'analog', 'jg', 'tubi', 'tubi', 'migas', 'sembako', 'lg', 'pusing', 'jdnya', 'alat', 'mahal', 'kah', 'din', 'beli', 'brp', 'harga']",-1,negative
tonishndr,saya sudah coba migrasi dari analog ke digital benar benar beda jauh kualitasnya yang di iklankan di berbagai media memang benarbukan hoaks kalo kualitas analog ada semutnya kalo di digital benar benar hilang semutnya  jadinya gelap gulita tipi saya  ada tulisan  tidak ada sinyal sudah diaktifkan akhirnya saya kembali ke mantananalog area kabupaten bekasi,"['coba', 'migrasi', 'analog', 'digital', 'beda', 'kualitas', 'iklan', 'media', 'benarbukan', 'hoaks', 'kalo', 'kualitas', 'analog', 'semut', 'kalo', 'digital', 'hilang', 'semut', 'gelap', 'gulita', 'tipi', 'tulis', 'sinyal', 'aktif', 'mantananalog', 'area', 'kabupaten', 'bekas']",2,positive
_aruvian,kerja kaga becus aja minta gaji bgst,"['kerja', 'kaga', 'becus', 'aja', 'gaji', 'bgst']",-3,negative
1am_p0o,    ,[],0,neutral
aswadi916,gpp kalau dimatiin juga asal di ganti in yg baru dan gratis,"['gpp', 'dimatiin', 'ganti', 'in', 'yg', 'gratis']",4,positive
ridwann.w,percuma klo tontonan ga ada yg bermutu mah,"['klo', 'tonton', 'ga', 'yg', 'mutu', 'mah']",-2,negative
baby_r3xy,min tolong blokir situs ruleus dan manhwalandmom di indonesia donk,"['min', 'tolong', 'blokir', 'situs', 'ruleus', 'manhwalandmom', 'indonesia', 'donk']",-5,negative
thantrimayangputeri,disuruh beralih ke siaran digital beli topbox baru siran tvnya gk kuat dan patah apaan tidak usah iming ke masyarakat jernih lancar tapi kenyataannya gk ada sama skali,"['suruh', 'alih', 'siar', 'digital', 'beli', 'topbox', 'sir', 'tvnya', 'gk', 'kuat', 'patah', 'iming', 'masyarakat', 'jernih', 'lancar', 'nyata', 'gk', 'skali']",0,neutral
dede_kafrawirahim,kementrian tilolong mending bubarlah,"['tri', 'tilolong', 'mending', 'bubar']",-1,negative
dede_kafrawirahim,jualan stb nambah daya listrik sigoblok,"['jual', 'stb', 'nambah', 'daya', 'listrik', 'sigoblok']",1,positive
dede_kafrawirahim,stb maseh sering macet macet tolol,"['stb', 'maseh', 'macet', 'macet', 'tolol']",-5,negative
rhmtphoci10,pecinta ikatan cinta banyak yg marah marah dah,"['cinta', 'ikat', 'cinta', 'yg', 'marah', 'marah', 'dah']",-13,negative
najiulloh14,didaerah kami blm ada pembagian set box saya malah beli sendiri,"['daerah', 'blm', 'bagi', 'set', 'box', 'beli']",-3,negative
im_marten,aturan mulu bisnis terus,"['atur', 'mulu', 'bisnis']",2,positive
zainahmad2715,bjorka nyimak entar sistem kominfo yg gua banned,"['bjorka', 'nyimak', 'entar', 'sistem', 'kominfo', 'yg', 'gua', 'banned']",-4,negative
reni_selian,,[],0,neutral
anitya_ari,tv di poskamling dan di warteg auto  ga ada gambar,"['tv', 'poskamling', 'warteg', 'auto', 'ga', 'gambar']",-1,negative
anitya_ari,dimasa sulit menambah makin  sulit,"['masa', 'sulit', 'tambah', 'sulit']",3,positive
swaraketegannews,mhn untuk wilayah pasuruan timur masih banyak channel yg belum terjangkau,"['mhn', 'wilayah', 'pasuruan', 'timur', 'channel', 'yg', 'jangkau']",0,neutral
itsrahmahhh,,[],0,neutral
sasmikhadewi_,ada aja negarq ini dh gak punya uang suruh beli setopbox makan aja susah pak,"['aja', 'negarq', 'dh', 'gak', 'uang', 'suruh', 'beli', 'setopbox', 'makan', 'aja', 'susah']",-6,negative
romiyanto214875,pak bagaimana klo yg dapat set to bok dri rtrw setempat,"['klo', 'yg', 'set', 'to', 'bok', 'dri', 'rtrw']",0,neutral
irpanrivaldi89,jawa barat masih aman,"['jawa', 'barat', 'aman']",0,neutral
dheamisjamulyadi,kualitas sinnyalnua masih jelek nih masih suka nge freez,"['kualitas', 'sinnyalnua', 'jelek', 'nih', 'suka', 'nge', 'freez']",1,positive
rikko_harynto,kontol,['kontol'],-5,negative
ummisitiaisyah12,,[],0,neutral
